1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
Acidic Soil,US,Phyrexia avait essayé de prendre l'âme d'Urza. Les vapeurs acides de Shiv ne s'en prenaient qu'à ses larmes.,,
Acolyte of Xathrid,M10,"Comme tous les prêtres, elle ne bénit que ceux qui en sont dignes.",,
Acorn Catapult,CMD,"Étrangement, les Kaloniens utilisent le même mot pour « munition » et pour « appât ».",,
Acquire,CIN,"Parfois, « innover » signifie « être le premier à voler le secret d'autrui. »",,
Acquire,FD,"Parfois, « innover » signifie « être le premier à voler le secret d'autrui. »",,
Acquire,MBP,"Parfois, « innover » signifie « être le premier à voler le secret d'autrui. »",,
Acquire,MIN,"Parfois, « innover » signifie « être le premier à voler le secret d'autrui. »",,
Acridian,US,"Les elfes d'Argoth savent monter ces créatures, même la tête en bas.",,
Act of Treason,DDN,Chaque jour voit l'incertitude et les rumeurs se propager ; chaque nuit voit la popularité de la Revue de Juri augmenter.,,
Act of Treason,DPA,Chaque jour voit l'incertitude et les rumeurs se propager ; chaque nuit voit la popularité de la Revue de Juri augmenter.,,
Act of Treason,GTC,Chaque jour voit l'incertitude et les rumeurs se propager ; chaque nuit voit la popularité de la Revue de Juri augmenter.,,
Act of Treason,KTK,"« Puisque les Sultaï prennent nos morts, nous nous approprierons leurs vivants ! »
—Taklaï, chanterage marduen",,
Act of Treason,M10,"« La rage boue dans chaque cœur, menaçant à chaque instant de trahir sa prison rationnelle. »
—Sarkhan Vol",,
Act of Treason,M11,"« La rage bout dans chaque cœur, menaçant à chaque instant de trahir sa prison rationnelle. »
—Sarkhan Vol",,
Act of Treason,M12,"« La rage bout dans chaque cœur, menaçant à chaque instant de trahir sa prison rationnelle. »
—Sarkhan Vol",,
Act of Treason,M14,"« La rage bout dans chaque cœur, menaçant à chaque instant de trahir sa prison rationnelle. »
—Sarkhan Vol",,
Act of Treason,ORI,"Ce jour-là, elle apprit une leçon tragique : même les plus purs peuvent être corrompus quand le cœur est en jeu.",,
Act of Treason,SVC,Chaque jour voit l'incertitude et les rumeurs se propager ; chaque nuit voit la popularité de la Revue de Juri augmenter.,,
Act on Impulse,M15,« Jetons un voile pudique sur ce qui se passe une fois mes lunettes chaussées. »,,
Ad Nauseam,ALA,"Quand son travail empiéta sur sa mort, il cessa de l'appeler l'œuvre de sa vie.",,
"Adamaro, First to Desire",SOK,"« Prenez garde à Adamaro Chez lui, rage et souffrance sont parfaitement harmonisées. »
—Isao, bushi éclairé",,
Adaptive Automaton,M12,Une telle fidélité ne peut être qu'artificielle.,,
Adaptive Snapjaw,GTC,"« Hmm, pas assez de crapaud. »
—Gulistan, biomancien simic",,
Adarkar Sentinel,IA,"« Nous rencontrâmes les sentinelles dans les landes, à mille lieux de toute vie. Leur fonction nous resta impénétrable. »
—Disa l'infatigable, journal.",,
Adarkar Sentinel,ME2,"« Nous rencontrâmes les sentinelles dans les landes, à mille lieux de toute vie. Leur fonction nous resta impénétrable. »
—Disa l'infatigable, journal.",,
Adarkar Unicorn,IA,"« Il n'y a pas de plus noble créatures dans tout Terisiare. »
—Général Jarkheld, le renard de l'Arctique",,
Adarkar Valkyrie,C14,Elle n'escorte pas les morts dans l'après-vie ; elle les ressuscite pour combattre et mourir à nouveau.,,
Adarkar Valkyrie,CS,Elle n'escorte pas les morts dans l'après-vie ; elle les ressuscite pour combattre et mourir à nouveau.,,
Adarkar Valkyrie,MMA,Elle n'escorte pas les morts dans l'après-vie ; elle les ressuscite pour combattre et mourir à nouveau.,,
Adarkar Windform,CS,Terisiare n'a que deux types de climats : froid et étrange.,,
Addle,IN,"« J'essorerais ton minuscule cerveau comme une éponge. »
—Une sorcière d'Urborg.",,
Addle,VMA,"« J'essorerais ton minuscule cerveau comme une éponge. »
—Une sorcière d'Urborg.",,
Adun Oakenshield,LG,"« ...Et à son décès , le corps des grands guerriers du monde se lèveront de leurs tombes pour le suivre à la bataille. »
—Grimoire Anvilonian",,
Adun Oakenshield,ME,"« ...Et à son décès , le corps des grands guerriers du monde se lèveront de leurs tombes pour le suivre à la bataille. »
—Grimoire Anvilonian",,
Advance Scout,BR,"La voie du guerrier est lissée par les pas de ceux qui l'ont précédé.
—Oracle en-Vec.",,
Advance Scout,BRB,"La voie du guerrier est lissée par les pas de ceux qui l'ont précédé.
—Oracle en-Vec.",,
Advance Scout,TE,"La voie du guerrier est lissée par les pas de ceux qui l'ont précédé.
—Oracle en-Vec.",,
Advanced Hoverguard,FD,"« Ils sont comme leurs maîtres vedalkens, intouchables, distants et omniprésents. »
—Bruenna, chef des Neuroks",,
Advantageous Proclamation,CNS,« Les conseillers bienfaisants vous considèrent digne de faveur. Ils espèrent que cela ne provoquera pas l'envie de vos pairs. »,,
Advent of the Wurm,DGM,La conscience de Mat'Selesnya ne se répand pas toujours de façon pacifique.,,
Adventuring Gear,ZEN,Les outils de l'explorateur dans un monde sauvage.,,
Advocate of the Beast,M14,"« Je ne suis ni leur meneur ni leur chef. Aux yeux de ces bêtes majestueuses, je ne suis qu'un membre de la meute et rien d'autre. »",,
Aegis of the Gods,JOU,"Athréos ne se préoccupe pas du conflit opposant les autres dieux aux mortels. Tout ce qui l'intéresse, c'est d'assurer le passage des morts.",,
Aegis of the Meek,IA,"« Avec cette merveille, même les plus faibles ont une chance au combat. »
—Arcum Dagsson, machiniste soldevi.",,
Aeolipile,FE,"« Bien que fragile, l'aeolipile pourrait être extrêmement destructrice. »
—Empires Sarpadian, vol. I",,
Aeolipile,ME2,"« Bien que fragile, l'aeolipile pourrait être extrêmement destructrice. »
—Empires Sarpadian, vol. I",,
AErathi Berserker,LG,Les enfants Ærathi les plus prometteurs sont laissés à leur sort durant un an dans le désert. Ceux qui reviennent emprunteront la voie du Berseker,1,
AErathi Berserker,LG,Les enfants Ærathi les plus prometteurs sont laissés à leur sort durant un an dans le désert. Ceux qui reviennent emprunteront la voie du Berseker,2,
Aerial Caravan,MM,La livraison n'est pas garantie.,,
Aerial Maneuver,GTC,"« Quand on met tout ce qu'on a dans une attaque, sans peur ni hésitation, la grandeur est à portée de main. »
—Predak, libremage des Sans porte",,
Aerial Predation,RTR,"Entre les arbres monumentaux de la Position de Samok et les prédateurs qui les protègent, la puissance de la nature de Ravnica est de retour.",,
Aerial Volley,ORI,"Les drakôns peuvent certes esquiver une flèche, mais pas le ciel tout entier.",,
Aerie Mystics,C13,Ils surveillent leur langage corporel et leurs expressions faciales. Le moindre sursaut pourrait trahir les positions des troupes qu'ils protègent et mettre de nombreuses vies en péril.,,
Aerie Mystics,CFX,Ils surveillent leur langage corporel et leurs expressions faciales. Le moindre frémissement pourrait trahir les positions des troupes qu'ils protègent et mettre de nombreuses vies en péril.,,
Aerie Worshippers,BNG,Elles peuvent invoquer des étoiles dans un ciel clair.,,
Aeronaut Tinkerer,CVP,« Tous les bricoleurs ont la tête dans les nuages. Je ne compte pas m'arrêter là. »,,
Aeronaut Tinkerer,M15,« Tous les bricoleurs ont la tête dans les nuages. Je ne compte pas m'arrêter là. »,,
Aeronaut Tinkerer,MBP,« Tous les bricoleurs ont la tête dans les nuages. Je ne compte pas m'arrêter là. »,,
Aesthir Glider,AL,"« Voilá un bel exemple des bienfaits de la mécanique : une monture parfaitement docile avec des ailes en acier de Soldev. »
—Arcum Dagsson, machiniste soldevi.",1,
Aesthir Glider,AL,"« Voilá un bel exemple des bienfaits de la mécanique : une monture parfaitement docile avec des ailes en acier de Soldev. »
—Arcum Dagsson, machiniste soldevi.",2,
Aesthir Glider,AL,"« Voilá un bel exemple des bienfaits de la mécanique : une monture parfaitement docile avec des ailes en acier de Soldev. »
—Arcum Dagsson, machiniste soldevi.",3,
Aesthir Glider,ANT,"« Voilá un bel exemple des bienfaits de la mécanique : une monture parfaitement docile avec des ailes en acier de Soldev. »
—Arcum Dagsson, machiniste soldevi.",,
Aesthir Glider,ME4,"« Voilá un bel exemple des bienfaits de la mécanique : une monture parfaitement docile avec des ailes en acier de Soldev. »
—Arcum Dagsson, machiniste soldevi.",,
AEther Adept,DDM,Certains mages travaillent mieux dans la solitude. D'autres font tout leur possible pour la créer.,,
AEther Adept,JVV,Certains mages travaillent mieux dans la solitude. D'autres font tout leur possible pour la créer.,,
AEther Adept,M11,Certains mages travaillent mieux dans la solitude. D'autres font tout leur possible pour la créer.,,
AEther Adept,M12,« L'univers est mon instrument et l'air que je joue n'est pas pour vos oreilles. »,,
AEther Barrier,NE,"« Les créatures apparaissent, disparaissent, parfois réapparaissent. C'est un malheureux effet secondaire, mais les pertes sont tolérables. »
—Belfe.",,
AEther Burst,OD,Aussi éphémère qu'une promesse de céphalide.,,
AEther Charge,ON,"« Je rêve, ou ce météore a des dents ? »",,
AEther Flash,6E,"« Vous ne pouvez pas aller d'ici jusque là-bas. Enfin, vous pouvez, mais ce ne serait pas drôle. »
—Ersaï, expert sorcier.",,
AEther Flash,7E,"Quand la bête immonde apparut, des éclairs magiques parcouraient son corps.",,
AEther Flash,WL,"« Vous ne pouvez pas aller d'ici jusque là bas. Enfin, vous pouvez, mais ce ne serait pas drôle. »
—Ertaï, expert sorcier.",,
AEther Gale,C14,"En prévision de l'assaut, la milice s'était postée en formation sur la place centrale, mais les géants avaient disparu bien avant d'y arriver.",,
AEther Shockwave,SOK,"« La pression exercée sur le voile entre les mondes commença à se faire sentir à la fin de la Guerre des kami. D'étranges événements incontrôlables par les deux camps se produisirent dans tout Kamigawa. »
—Observations sur la Guerre des kami",,
AEther Snap,C14,"« Puissiez-vous, à votre réveil, réaliser que vous n'étiez qu'un rêve. »
—Malédiction de Mephidross",,
AEther Snap,DS,"« Puissiez-vous, à votre réveil, réaliser que vous n'étiez qu'un rêve. »
—Malédiction de Mephidross",,
AEther Spellbomb,ARC,"« Libère ce qui jamais n'a été mis en cage. »
—Inscription sur une bombe à sortilèges",,
AEther Spellbomb,DDF,"« Libère ce qui jamais n'a été mis en cage. »
—Inscription sur une bombe à sortilèges",,
AEther Spellbomb,EVT,"« Libère ce qui jamais n'a été mis en cage. »
—Inscription sur une bombe à sortilèges",,
AEther Spellbomb,MMA,"« Libère ce qui jamais n'a été mis en cage. »
—Inscription sur une bombe à sortilèges",,
AEther Spellbomb,MR,"« Libère ce qui jamais n'a été mis en cage. »
—Inscription sur une bombe à sortilèges",,
AEther Sting,UD,"Quand Gatha succomba, il dut payer pour chacune des abominations qu'il avait créées.",,
AEther Storm,5E,Le tonnerre dans le vent / pas de pluie / la paix se lamente sur son passage.,,
AEther Storm,HL,Le tonnerre dans le vent / pas de pluie / la paix se lamente sur son passage.,,
AEther Storm,ME2,Le tonnerre dans le vent / pas de pluie / la paix se lamente sur son passage.,,
AEther Tide,EX,Le flux de la magie les a amenés ici. Le reflux les remmènera chez eux.,,
AEther Tradewinds,CNS,"« Le vent porte l'odeur de l'infortune. Vérifiez vos nœuds. »
—Anitan, clerc du Ondou",,
AEther Tradewinds,WWK,"« Le vent porte l'odeur de l'infortune. Vérifiez vos nœuds. »
—Anitan, clerc du Ondou",,
AEtherize,C15,« Revenez quand vous aurez appris les bonnes manières...et trouvé le moyen de reconstituer vos corps. »,,
AEtherize,DDO,« Revenez quand vous aurez appris les bonnes manières...et trouvé le moyen de reconstituer vos corps. »,,
AEtherize,EVK,« Revenez quand vous aurez appris les bonnes manières...et trouvé le moyen de reconstituer vos corps. »,,
AEtherize,GTC,« Revenez quand vous aurez appris les bonnes manières...et trouvé le moyen de reconstituer vos corps. »,,
AEtherplasm,GP,Sa forme changeante renferme les traces de milliers d'anciennes identités.,,
AEthersnatch,C15,« Vous disiez ? »,,
AEtherspouts,M15,"« Pas d'inquiétude, il y en aura pour tout le monde. »
—Vickon, mage de bataille de la onzième compagnie",,
Affa Guard Hound,DDP,"Autrefois un centre accueillant pour les explorateurs, Affa était devenu un lieu aux bouches discrètes et aux défenses rapides.",,
Affa Guard Hound,ROE,"Autrefois un centre accueillant pour les explorateurs, Affa était devenu un lieu aux bouches discrètes et aux défenses rapides.",,
Affa Guard Hound,ZVE,"Autrefois un centre accueillant pour les explorateurs, Affa était devenu un lieu aux bouches discrètes et aux défenses rapides.",,
Affa Protector,OGW,"« Malgré toutes les horreurs auxquelles nous sommes confrontés, je m'accroche au souvenir du monde tel qu'il était avant l'arrivée des Eldrazi. J'aimerais le revoir un jour. »",,
Afflict,10E,"L'affliction ne guérit pas le mal.
—Proverbe français",,
Afflict,OD,"Quand l'un des champions du Patriarche lui a déplu, il bouge légèrement son doigt. Cela suffit.",,
Afflicted Deserter,DKA,"L’apparition de la première pleine lune dissipa les derniers doutes quant à l’horrible vérité qui sommeillait en lui.
-----
L’apparition de la première pleine lune dissipa les derniers doutes quant à l’horrible vérité qui sommeillait en lui.",,
Afterlife,MI,Les facettes de la vie sont les riflexions de l'âme.,,
Aftershock,TE,"Tout acte de destruction a une répercussion.
—Karn, golem d'argent.",,
Aftershock,TPR,"Tout acte de destruction a une répercussion.
—Karn, golem d'argent.",,
Aftershock,VMA,"Tout acte de destruction a une répercussion.
—Karn, golem d'argent.",,
Ageless Entity,AVB,"Bien que les trolls eussent gardé Tel-Jilad depuis des générations, d'autres créatures, bien plus féroces, furent créées par la Filandre pour le protéger.",,
Ageless Entity,DDH,"Bien que les trolls eussent gardé Tel-Jilad depuis des générations, d'autres créatures, bien plus féroces, furent créées par la Filandre pour le protéger.",,
Ageless Entity,DS,"Bien que les trolls eussent gardé Tel-Jilad depuis des générations, d'autres créatures, bien plus féroces, furent créées par la Filandre pour le protéger.",,
Agent of Erebos,JOU,Les serviteurs d'Érébos chassent les Reparus et avertissent les fous qui songeraient à faire de même.,,
Agent of Horizons,THS,"La clarté du sous-bois juste avant l'aube permet de distinguer un lacis scintillant de branches, de racines et de toiles d'araignée. Les acolytes de Kruphix l'arpentent , invisibles.",,
Agent of Masks,GP,« Vous dites que j'ai deux visages ? Vil flatteur. Terminons-en d'abord avec notre affaire. »,,
Agent of Shauku,PY,"Vas-y, prends-le. Crois-tu vraiment que cela te donne la puissance de la terre?",,
Agent of Stromgald,AL,"« L'ordre de Stromgald a été dispersé à tous vents. Je n'y pense même plus. »
—Générale Vartchaild.",1,
Agent of Stromgald,AL,"« L'ordre de Stromgald a été dispersé à tous vents. Je n'y pense même plus. »
—Générale Vartchaild.",2,
Agent of Stromgald,AL,"« L'ordre de Stromgald a été dispersé à tous vents. Je n'y pense même plus. »
—Générale Vartchaild.",3,
Agent of the Fates,THS,« L'air que tu respires ne t'appartient pas. »,,
Aggravate,AVR,"« Maudits barbares ! Ils ont mis le feu à mon fauteuil préféré ! Tuons-les tous ! »
—Anje Falkenrath",,
Aggression,IA,L'étoile qui brille deux fois plus se consume deux fois plus vite.,,
Aggressive Mining,M15,Conçue par Markus Persson,,
Aggressive Urge,10E,"La force de la nature, brute, violente, concentrée.",,
Aggressive Urge,IN,"La force de la nature, brute, violente, concentrée.",,
Agonizing Memories,10E,"« Le souvenir est l'espérance renversée. On regarde le fond du puits comme on a regardé le sommet de la tour. »
—Gustave Flaubert",,
Agonizing Memories,6E,"« Mon emportement a provoqué la mort d'un innocent. Le remords me hantera pour l'éternité. »
—Karn, golem d'argent.",,
Agonizing Memories,7E,"« Je ne pense plus aux ennemis vaincus, mais je suis hanté par les amis que j'ai envoyés à la mort. »
—Le Paladin du Sud.",,
Agonizing Memories,WL,"« Mon emportement a provoqué la mort d'un innocent. Le remords me hantera pour l'éternité. »
—Karn, golem d'argent.",,
Agony Warp,ALA,"Le cycle de la vie s'est inversé sur Grixis. La même énergie est constamment recyclée, devenant plus stagnante à chaque nouveau passage.",,
Agony Warp,ARC,"Le cycle de la vie s'est inversé sur Grixis. La même énergie est constamment recyclée, devenant plus stagnante à chaque nouveau passage.",,
Agony Warp,MM2,"Le cycle de la vie s'est inversé sur Grixis. La même énergie est constamment recyclée, devenant plus stagnante à chaque nouveau passage.",,
Agoraphobia,DDM,"« Dans cette ville, tout le monde doit choisir un camp. Mais moi, j'ai horreur du monde. »",,
Agoraphobia,GTC,"« Dans cette ville, tout le monde doit choisir un camp. Mais moi, j'ai horreur du monde. »",,
Agoraphobia,JVV,"« Dans cette ville, tout le monde doit choisir un camp. Mais moi, j'ai horreur du monde. »",,
"Agrus Kos, Wojek Veteran",RAV,Le lieutenant Kos n'a jamais connu de recrue qu'il ne pouvait inspirer ou de foule qu'il ne pouvait calmer.,,
Aim High,SOI,"« Un tueur s'en sort grâce à sa présence d'esprit et ses réflexes. »
—Higa, capitaine des tueurs de Gatstaf",,
Ainok Artillerist,DTK,"« Dans le Tarkir que j'ai connu autrefois, les Abzans vénéraient les arbres de leurs ancêtres. Aujourd'hui, en tant que Dromoka, ils en coupent les plus belles branches pour y tailler leurs armes. »
—Sarkhan Vol",,
Ainok Bond-Kin,KTK,"« Tenez la position, au nom de la famille et de ceux qui ont péri ! »",,
Ainok Tracker,KTK,Certains aïnoks des montagnes sont acceptés par les Temuriens comme compagnons de chasse.,,
Ainok Tracker,UFRF,"« Les aïnoks sont des chiens sauvages qui n'ont pas leur place avec nous près du feu. »
—Surrak, le Grand veneur",,
Ainok Tracker,UGF,Certains aïnoks des montagnes sont acceptés par les Temuriens comme compagnons de chasse.,,
Air Bladder,NE,"Les mutations parmi les ondins de souchemer étaient fréquentes, imprévisibles et angoissantes.",,
Air Elemental,10E,"« Le Vent d'Est, un intrus dans le domaine du Temps d'Ouest, est un tyran au visage impassible et qui dissimule derrière son dos une dague acérée, afin de frapper en traître. »
—Joseph Conrad, Le Miroir de la mer",,
