Cloven Casting,Расщепленный Удар,Чары,"Каждый раз, когда вы разыгрываете многоцветное мгновенное заклинание или заклинание волшебства, вы можете заплатить {1}. Если вы это делаете, скопируйте то заклинание. Вы можете выбрать новые цели для этой копии."
Colossal Might,Исполинская Сила,Мгновенное заклинание,Целевое существо получает +4/+2 и Пробивной удар до конца хода.
Crystallization,Кристаллизация,Чары — Аура,"Зачаровать существо
Зачарованное существо не может атаковать или блокировать.
Когда зачарованное существо становится целью заклинания или способности, удалите то существо из игры."
Dauntless Escort,Неустрашимый Сопроводитель,Существо — Носорог Солдат,Пожертвуйте Неустрашимого Сопроводителя: существа под вашим контролем не могут быть уничтожены в этом ходу.
Deadshot Minotaur,Оглушающий Минотавр,Существо — Минотавр,"Когда Оглушающий Минотавр входит в игру, он наносит 3 повреждения целевому существу с Полетом.
Цикл {RG} #({RG}, сбросьте эту карту: возьмите карту.)#"
Deathbringer Thoctar,Смертоносный Токтар,Существо — Зомби Зверь,"Каждый раз, когда другое существо попадает из игры на кладбище, вы можете положить один жетон +1/+1 на Смертоносного Токтара.
Удалите один жетон +1/+1 со Смертоносного Токтара: Смертоносный Токтар наносит 1 повреждение целевому существу или игроку."
Defiler of Souls,Осквернитель Душ,Существо — Демон,"Полет
В начале шага поддержки каждого игрока, тот игрок приносит в жертву одноцветное существо."
Demonic Dread,Демоническая Жуть,Волшебство,"Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#
Целевое существо не может блокировать в этом ходу."
Demonspine Whip,Плеть из Хребта Демона,Артефакт — Снаряжение,"{X}: Целевое существо получает +X/+0 до конца хода.
Снарядить {1}"
Deny Reality,Отказ от Реальности,Волшебство,"Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#
Верните целевой перманент в руку его владельца."
Double Negative,Двойное Отрицание,Мгновенное заклинание,Отмените не более двух целевых заклинаний.
Dragon Appeasement,Умиротворение Дракона,Чары,"Пропустите ваш шаг взятия карты.
Каждый раз, когда вы приносите в жертву существо, вы можете взять карту."
Dragon Broodmother,Дракономатка,Существо — Дракон,"Полет
В начале каждого шага поддержки, положите в игру одну фишку существа 1/1 красный и зеленый Дракон с Полетом и Пожиранием 2. #(При входе фишки в игру вы можете пожертвовать любое количество существ. Она входит в игру с количеством жетонов +1/+1 на ней, в два раза превышающим их число.)#"
Drastic Revelation,Жаркое Откровение,Волшебство,"Сбросьте вашу руку. Возьмите семь карт, затем сбросьте три случайно выбранные карты."
Enigma Sphinx,Загадочный Сфинкс,Артефактное Существо — Сфинкс,"Полет
Когда Загадочный Сфинкс попадает из игры на ваше кладбище, положите его в вашу библиотеку третьим сверху.
Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#"
Enlisted Wurm,Срочнослужащий Вурм,Существо — Вурм,"Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#"
Esper Sojourners,Гости из Эспера,Артефактное Существо — Ведалкен Чародей,"Когда вы совершаете цикл Гостей из Эспера, или когда они попадают из игры на кладбище, вы можете повернуть или развернуть целевой перманент.
Цикл {2}{U} #({2}{U}, сбросьте эту карту: возьмите карту.)#"
Esper Stormblade,Штормовой Палач из Эспера,Артефактное Существо — Ведалкен Чародей,"Пока вы контролируете другой многоцветный перманент, Штормовой Палач из Эспера получает +1/+1 и имеет Полет."
Ethercaste Knight,Рыцарь Касты Эфира,Артефактное Существо — Человек Рыцарь,"Повышение #(Каждый раз, когда существо под вашим контролем атакует в одиночку, оно получает +1/+1 до конца хода.)#"
Etherium Abomination,Эфириевая Мерзость,Артефактное Существо — Ужас,"Откопать {1}{U}{B} #({1}{U}{B}: верните эту карту из вашего кладбища в игру. Она получает Ускорение. Удалите ее из игры в конце хода, или в случае, если она должна покинуть игру. Откапывайте только как волшебство.)#"
Ethersworn Shieldmage,Вооруженная Эфироблюстительница,Артефактное Существо — Ведалкен Чародей,"Миг
Когда Вооруженная Эфироблюстительница входит в игру, предотвратите все повреждения, которые будут нанесены артифактным существам в этом ходу."
Etherwrought Page,Кованая Эфирием Страница,Артефакт,"В начале вашего шага поддержки выберите одно — вы получаете 2 жизни; или посмотрите верхнюю карту вашей библиотеки, затем вы можете положить ту карту на ваше кладбище; или каждый оппонент теряет 1 жизнь."
Fieldmist Borderpost,Пограничный Камень Полевой Мглы,Артефакт,"Вы можете заплатить {1} и вернуть базовую землю под вашим контролем в руку ее владельца вместо уплаты мана-стоимости Пограничного Камня Полевой Мглы.
Пограничный Камень Полевой Мглы входит в игру повернутым.
{T}: Добавьте {W} или {U} в ваше хранилище маны."
Fight to the Death,"Не на Жизнь, а на Смерть",Мгновенное заклинание,Уничтожьте все блокирующие и заблокированные существа.
Filigree Angel,Ангел Филиграни,Артефактное Существо — Ангел,"Полет
Когда Ангел Филиграни входит в игру, вы получаете 3 жизни за каждый находящийся под вашем контролем артефакт."
Finest Hour,Звездный Час,Чары,"Повышение #(Каждый раз, когда существо под вашим контролем атакует в одиночку, оно получает +1/+1 до конца хода.)#
Каждый раз, когда существо под вашим контролем атакует в одиночку, если это первая фаза боя в этом ходу, разверните то существо. После этой фазы идет дополнительная фаза боя."
Firewild Borderpost,Пограничный Камень Дикого Огня,Артефакт,"Вы можете заплатить {1} и вернуть базовую землю под вашим контролем в руку ее владельца вместо уплаты мана-стоимости Пограничного Камня Дикого Огня.
Пограничный Камень Дикого Огня входит в игру повернутым.
{T}: добавьте {R} или {G} в ваше хранилище маны."
Flurry of Wings,Крылатый Порыв,Мгновенное заклинание,"Положите в игру X фишек существа 1/1 белая Птица Солдат с Полетом, где X — количество атакующих существ."
Giant Ambush Beetle,Засадный Гигантский Жук,Существо — Насекомое,"Ускорение
Когда Засадный Гигантский Жук входит в игру, вы можете заставить целевое существо блокировать его в этом ходу, если оно может."
Glassdust Hulk,Громадина Стеклянной Пыли,Артефактное Существо — Голем,"Каждый раз, когда другой артефакт входит в игру под вашим контролем, Громадина Стеклянной Пыли получает +1/+1 до конца хода и не может быть заблокирована в этом ходу.
Цикл {WU} #({WU}, сбросьте эту карту: возьмите карту.)#"
Glory of Warfare,Боевая Слава,Чары,"В течение вашего хода cущества под вашим контролем получают +2/+0.
В течение не вашего хода cущества под вашим контролем получают +2/+0."
Gloryscale Viashino,Виашино Славокожий,Существо — Виашино Солдат,"Каждый раз, когда вы разыгрываете многоцветное заклинание, Виашино Славокожий получает +3/+3 до конца хода."
Godtracker of Jund,Боговод из Джанда,Существо — Эльф Шаман,"Каждый раз, когда существо с силой 5 или больше входит в игру под вашим контролем, вы можете положить один жетон +1/+1 на Боговода из Джанда."
Gorger Wurm,Ненасытный Вурм,Существо — Вурм,Пожирание 1 #(При входе этого существа в игру вы можете пожертвовать любое количество существ. Это существо входит в игру с таким же количеством жетонов +1/+1 на нем.)#
Grixis Grimblade,Мрачный Палач из Гриксиса,Существо — Зомби Воин,"Пока вы контролируете другой многоцветный перманент, Мрачный Палач из Гриксиса получает +1/+1 и имеет Смертельное касание. #(Каждый раз, когда он наносит повреждения существу, уничтожьте то существо.)#"
Grixis Sojourners,Гости из Гриксиса,Существо — Зомби Огр,"Когда вы совершаете цикл Гостей из Гриксиса или когда они попадают из игры на кладбище, вы можете удалить находящуюся на кладбище целевую карту.
Цикл {2}{B} #({2}{B}, сбросьте эту карту: возьмите карту.)#"
Grizzled Leotau,Седеющий Леотау,Существо — Кошка,
Identity Crisis,Личностный Кризис,Волшебство,"Удалите из игры все карты, находящиеся в руке и на кладбище целевого игрока."
Igneous Pouncer,Огнедышащий Захватчик,Существо — Элементаль,"Ускорение
Цикл Болота {2}, Цикл Горы {2} #({2}, сбросьте эту карту: найдите в вашей библиотеке карту Болота или Горы, покажите ее и положите в вашу руку. Затем перетасуйте вашу библиотеку.)#"
Illusory Demon,Призрачный Демон,Существо — Демон Иллюзия,"Полет
Когда вы разыгрываете заклинание, пожертвуйте Призрачного Демона."
Intimidation Bolt,Устрашающий Удар,Мгновенное заклинание,Устрашающий Удар наносит 3 повреждения целевому существу. Другие существа не могут атаковать в этом ходу.
"Jenara, Asura of War","Дженара, Асура Войны",Легендарное Существо — Ангел,"Полет
{1}{W}: положите один жетон +1/+1 на Дженару, Асуру Войны."
Jhessian Zombies,Джесские Зомби,Существо — Зомби,"Страх
Цикл Острова {2}, цикл Болота {2} #({2}, сбросьте эту карту: найдите в вашей библиотеке карту Острова или Болота, покажите ее и положите в вашу руку. Затем перетасуйте вашу библиотеку.)#"
Jund Hackblade,Кромсающий Палач из Джанда,Существо — Гоблин Берсерк,"Пока вы контролируете другой многоцветный перманент, Кромсающий Палач из Джанда получает +1/+1 и имеет Ускорение."
Jund Sojourners,Гости из Джанда,Существо — Виашино Шаман,"Когда вы совершаете цикл Гостей из Джанда, или когда они попадают из игры на кладбище, вы можете нанести 1 повреждение целевому существу или игроку.
Цикл {2}{R} #({2}{R}, сбросьте эту карту: возьмите карту.)#"
"Karrthus, Tyrant of Jund","Карртус, Тиран Джанда",Легендарное Существо — Дракон,"Полет, Ускорение
Когда Карртус, Тиран Джанда входит в игру, получите контроль над всеми Драконами, затем разверните всех Драконов.
Другие существа Драконы под вашим контролем имеют Ускорение."
Kathari Bomber,Истребитель Катари,Существо — Птица Шаман,"Полет
Когда Истребитель Катари наносит боевые повреждения игроку, положите в игру две фишки существа 1/1 красный Гоблин и пожертвуйте Истребителя Катари.
Откопать {3}{B}{R} #({3}{B}{R}: верните эту карту из вашего кладбища в игру. Она получает Ускорение. Удалите ее из игры в конце хода, или в случае, если она должна покинуть игру. Откапывайте только как волшебство.)#"
Kathari Remnant,Останки Катари,Существо — Птица Скелет,"Полет
{B}: регенерируйте Останки Катари.
Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#"
Knight of New Alara,Рыцарь Новой Алары,Существо — Человек Рыцарь,Каждое другое многоцветное существо под вашим контролем получает +1/+1 за каждый представленный им цвет.
Knotvine Paladin,Паладин Узловатой Лозы,Существо — Человек Рыцарь,"Каждый раз, когда Паладин Узловатой Лозы атакует, он получает +1/+1 до конца хода за каждое неповернутое существо под вашим контролем."
Lavalanche,Лаваобвал,Волшебство,Лаваобвал наносит X повреждений целевому игроку и каждому существу под его контролем.
Leonin Armorguard,Леонинский Доспехоносец,Существо — Кошка Солдат,"Когда Леонинский Доспехоносец входит в игру, существа под вашим контролем получают +1/+1 до конца хода."
Lich Lord of Unx,Повелитель Мертвецов из Ункса,Существо — Зомби Чародей,"{U}{B}, {T}: положите в игру одну фишку существа 1/1 синий и черный Зомби Чародей.
{U}{U}{B}{B}: целевой игрок теряет X жизней и кладет X верхних карт своей библиотеки на свое кладбище, где X — количество Зомби под вашим контролем."
Lightning Reaver,Молниеносный Громила,Существо — Зомби Зверь,"Страх, Ускорение
Каждый раз, когда Молниеносный Громила наносит боевые повреждения игроку, положите жетон заряда на него.
В конце вашего хода Молниеносный Громила наносит каждому оппоненту повреждения, равные количеству жетонов заряда на нем."
Lord of Extinction,Властелин Вымирания,Существо — Элементаль,Сила и выносливость Властелина Вымирания равны количеству карт на всех кладбищах.
Lorescale Coatl,Чешуемудрый Змей,Существо — Змея,"Каждый раз, когда вы берете карту, вы можете положить один жетон +1/+1 на Чешуемудрого Змея."
Madrush Cyclops,Несущийся Циклоп,Существо — Циклоп Воин,Существа под вашим контролем имеют Ускорение.
Maelstrom Nexus,Нексус Мальстрема,Чары,"Первое разыгрываемое вами заклинание в каждом ходу имеет Каскад. #(Когда вы разыгрываете ваше первое заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#"
Maelstrom Pulse,Пульсация Мальстрема,Волшебство,"Уничтожьте целевой, не являющийся землей, перманент и все другие перманенты с тем же именем, что и у того перманента."
Mage Slayer,Истребитель Магов,Артефакт — Снаряжение,"Каждый раз, когда снаряженное существо атакует, оно наносит защищающемуся игроку количество повреждений, равное своей силе.
Снарядить {3}"
Magefire Wings,Крылья из Волшебного Огня,Чары — Аура,"Зачаровать существо
Зачарованное существо получает +2/+0 и имеет Полет."
Marisi's Twinclaws,Двойные Когти Маризи,Существо — Кошка Воин,Двойной удар
Marrow Chomper,Мозгопожиратель,Существо — Зомби Ящер,"Пожирание 2 #(При входе этого существа в игру вы можете пожертвовать любое количество существ. Это существо входит в игру с количеством жетонов +1/+1 на нем, в два раза превышающим их число.)#
Когда Мозгопожиратель входит в игру, вы получаете 2 жизни за каждое пожранное им существо."
Mask of Riddles,Маска Загадок,Артефакт — Снаряжение,"Снаряженное существо имеет Страх.
Каждый раз, когда снаряженное существо наносит боевые повреждения игроку, вы можете взять карту.
Снарядить {2}"
Mayael's Aria,Ария Майел,Чары,"В начале вашего шага поддержки положите жетон +1/+1 на каждое существо под вашим контролем, если под вашим контролем есть существо с силой 5 или больше. Затем вы получаете 10 жизней, если под вашим контролем есть существо с силой 10 или больше. Затем вы одерживаете победу, если под вашим контролем есть существо с силой 20 или больше."
Meddling Mage,Вмешивающаяся Волшебница,Существо — Человек Чародей,"При входе Вмешивающейся Волшебницы в игру назовите карту, не являющуюся землей.
Названная карта не может быть разыграна."
Messenger Falcons,Соколы-Посланники,Существо — Птица,"Полет
Когда Соколы-Посланники входят в игру, возьмите карту."
Mind Funeral,Погребение Разума,Волшебство,"Целевой оппонент открывает карты с верха своей библиотеки, пока не показаны четыре карты земель. Тот игрок кладет на свое кладбище все показанные таким образом карты."
Mistvein Borderpost,Пограничный Камень Туманной Жилы,Артефакт,"Вы можете заплатить {1} и вернуть базовую землю под вашим контролем в руку ее владельца вместо уплаты мана-стоимости Пограничного Камня Туманной Жилы.
Пограничный Камень Туманной Жилы входит в игру повернутым.
{T}: добавьте {U} или {B} в ваше хранилище маны."
Monstrous Carabid,Чудовищная Жужелица,Существо — Насекомое,"Чудовищная Жужелица атакует в каждом ходу, если может.
Цикл {BR} #({BR}, сбросьте эту карту: возьмите карту.)#"
Morbid Bloom,Болезненное Цветение,Волшебство,"Удалите из игры находящуюся на кладбище целевую карту существа, затем положите в игру X фишек существа 1/1 зеленый Сапролинг, где X — значение выносливости удаленной карты."
Mycoid Shepherd,Фунгицидный Пастырь,Существо — Плесень,"Каждый раз, когда Фунгицидный Пастырь или другое существо под вашим контролем с силой 5 или больше попадает из игры на кладбище, вы можете получить 5 жизней."
Naya Hushblade,Бесшумный Палач из Найи,Существо — Эльф Бродяга,"Пока вы контролируете другой многоцветный перманент, Бесшумный Палач из Найи получает +1/+1 и имеет Пелену. #(Он не может быть целью заклинаний или способностей.)#"
Naya Sojourners,Гости из Найи,Существо — Эльф Шаман,"Когда вы совершаете цикл Гостей из Найи, или когда они попадают из игры на кладбище, вы можете положить один жетон +1/+1 на целевое существо.
Цикл {2}{G} #({2}{G}, сбросьте эту карту: возьмите карту.)#"
Necromancer's Covenant,Договор Некроманта,Чары,"Когда Договор Некроманта входит в игру, удалите из игры все карты существ на кладбище целевого игрока, а затем положите в игру одну фишку существа 2/2 черный Зомби за каждую удаленную таким образом карту.
Зомби под вашим контролем имеют Цепь жизни."
Nemesis of Reason,Возмездие Разума,Существо — Левиафан Ужас,"Каждый раз, когда Возмездие Разума атакует, защищающийся игрок кладет десять верхних карт своей библиотеки на свое кладбище."
Nulltread Gargantuan,Бесследный Исполин,Существо — Зверь,"Когда Бесследный Исполин входит в игру, положите существо под вашим контролем на верх библиотеки его владельца."
Offering to Asha,Подношение Аше,Мгновенное заклинание,"Отмените целевое заклинание, если только контролирующий его игрок не заплатит {4}. Вы получаете 4 жизни."
Pale Recluse,Бледный Отшельник,Существо — Паук,"Захват #(Этот объект может блокировать существа с Полетом.)#
Цикл Леса {2}, Цикл Равнины {2} #({2}, сбросьте эту карту: найдите в вашей библиотеке карту Леса или Равнины, покажите ее и положите в вашу руку. Затем перетасуйте вашу библиотеку.)#"
Predatory Advantage,Хищническое Преимущество,Чары,"В конце хода каждого оппонента, если тот игрок не разыгрывал в этом ходу заклинание существа, положите в игру одну фишку существа 2/2 зеленый Ящер."
Putrid Leech,Гадкая Пиявка,Существо — Зомби Пиявка,Заплатите 2 жизни: Гадкая Пиявка получает +2/+2 до конца хода. Разыгрывайте эту способность только один раз за ход.
Qasali Pridemage,Квазальский Прайд-Маг,Существо — Кошка Чародей,"Повышение #(Каждый раз, когда существо под вашим контролем атакует в одиночку, оно получает +1/+1 до конца хода.)#
{1}, пожертвуйте Квазальского Прайд-Мага: уничтожьте целевой артефакт или чары."
Reborn Hope,Возродившаяся Надежда,Волшебство,Верните целевую многоцветную карту из вашего кладбища в вашу руку.
Retaliator Griffin,Грифон-Мстительница,Существо — Грифон,"Полет
Каждый раз, когда источник под контролем оппонента наносит вам повреждения, вы можете положить такое же количество жетонов +1/+1 на Грифона-Мстительницу."
Rhox Brute,Рокс-Зверюга,Существо — Носорог Воин,
Sages of the Anima,Мудрецы Анимы,Существо — Эльф Чародей,"Если вы должны взять карту, вместо этого покажите три верхние карты вашей библиотеки. Положите все показанные таким образом карты существ в вашу руку, а остальные в низ вашей библиотеки в любом порядке."
Sanctum Plowbeast,Плугозверь Святилища,Артефактное Существо — Зверь,"Защитник
Цикл Равнины {2}, Цикл Острова {2} #({2}, сбросьте эту карту: найдите в вашей библиотеке карту Равнины или Острова, покажите ее и положите в вашу руку. Затем перетасуйте вашу библиотеку.)#"
Sangrite Backlash,Последствия Сангрита,Чары — Аура,"Зачаровать существо
Зачарованное существо получает +3/-3."
Sanity Gnawers,Пожиратели Рассудка,Существо — Крыса,"Когда Пожиратели Рассудка входят в игру, целевой игрок сбрасывает случайно выбранную карту."
Sen Triplets,Сенские Тройняшки,Легендарное Артефактное Существо — Человек Чародей,В начале вашего шага поддержки выберите целевого оппонента. В этом ходу тот игрок не может разыгрывать заклинания или активируемые способности и играет с открытой рукой. Вы можете разыграть карты из руки того игрока в этом ходу.
Sewn-Eye Drake,Дрейк с Зашитым Глазом,Существо — Зомби Дрейк,"Полет, Ускорение"
Shield of the Righteous,Щит Праведных,Артефакт — Снаряжение,"Снаряженное существо получает +0/+2 и имеет Бдительность.
Каждый раз, когда снаряженное существо блокирует существо, то существо не разворачивается во время следующего шага разворота контролирующего его игрока.
Снарядить {2}"
Sigil Captain,"Капитан, Раздающий Медали",Существо — Носорог Солдат,"Каждый раз, когда существо входит в игру под вашим контролем, если то существо 1/1, положите на него два жетона +1/+1."
Sigil of the Nayan Gods,Медаль Богов Найи,Чары — Аура,"Зачаровать существо
Зачарованное существо получает +1/+1 за каждое существо под вашим контролем.
Цикл {GW} #({GW}, сбросьте эту карту: возьмите карту.)#"
Sigiled Behemoth,Медаленосное Чудище,Существо — Зверь,"Повышение #(Каждый раз, когда существо под вашим контролем атакует в одиночку, оно получает +1/+1 до конца хода.)#"
Singe-Mind Ogre,Огр-Мозгоплав,Существо — Огр Мутант,"Когда Огр-Мозгоплав входит в игру, целевой игрок показывает случайную карту из своей руки, затем теряет количество жизней, равное конвертированной мана-стоимости той карты."
Skyclaw Thrash,Стая Небеснокогтевых,Артефактное Существо — Виашино Воин,"Каждый раз, когда Стая Небеснокогтевых атакует, подкиньте монету. Если вы выигрываете бросок, Стая Небеснокогтевых получает +1/+1 и Полет до конца хода."
Slave of Bolas,Рабыня Боласа,Волшебство,Получите контроль над целевым существом. Разверните то существо. Оно получает Ускорение до конца хода. В конце хода пожертвуйте его.
Soul Manipulation,Манипулирование Душами,Мгновенное заклинание,"Выберите одно или оба — отмените целевое заклинание существа; и #(или)# 
верните целевую карту существа из вашего кладбища в вашу руку."
Soulquake,Душетрясение,Волшебство,Верните все существа в игре и все карты существ из кладбищ в руки их владельцев.
Sovereigns of Lost Alara,Владыки Потерянной Алары,Существо — Дух,"Повышение #(Каждый раз, когда существо под вашим контролем атакует в одиночку, оно получает +1/+1 до конца хода.)#
Каждый раз, когда существо под вашим контролем атакует в одиночку, вы можете найти в вашей библиотеке карту Ауры, которая может зачаровать то существо, положить ее в игру прикрепленной к тому существу, а затем перетасовать вашу библиотеку."
